optimizer,lr,dropout,conv2_out_channels,conv1_out_channels,batch_size,f1_score
Adam,0.0001,0.5,64,64,64,0.6407995567202794
SGD,0.0001,0.1,128,64,64,0.17547855143029759
SGD,0.001,0.5,128,64,64,0.31698576588935123
Adam,0.0001,0.1,64,32,32,0.6685229732094952
Adam,0.0001,0.5,128,64,32,0.6877467694397995
Adam,0.0001,0.25,64,32,16,0.6812472204324059
SGD,0.0001,0.1,64,32,64,0.10726440286768568
Adam,0.001,0.5,64,32,32,0.8048372920680895
Adam,0.01,0.5,128,64,64,0.838311090450718
SGD,0.01,0.1,64,32,64,0.6021657454152405
